gene_name,oncogenicCategory,editor,edit_date,field
CCL2,Neither,loader,2020-04-22-17-24-35-653189,OncogenicCategory_omnigene_6347
CCN6,Neither,loader,2020-04-22-17-51-04-241995,OncogenicCategory_omnigene_8838
CCND1,Oncogene,loader,2020-04-22-17-24-37-864853,OncogenicCategory_omnigene_595
CCND2,Oncogene,loader,2020-04-22-17-24-39-423943,OncogenicCategory_omnigene_894
CCND3,Oncogene,loader,2020-04-22-17-24-41-583097,OncogenicCategory_omnigene_896
CCNE1,Oncogene,loader,2020-04-22-17-24-43-224819,OncogenicCategory_omnigene_898
CCR2,Neither,loader,2020-04-22-17-24-46-200881,OncogenicCategory_omnigene_729230
CD163,Neither,loader,2020-04-22-17-24-49-280289,OncogenicCategory_omnigene_9332
CD2,Neither,loader,2020-04-22-17-24-50-884143,OncogenicCategory_omnigene_914
CD244,Neither,loader,2020-04-22-17-24-54-847912,OncogenicCategory_omnigene_51744
CD27,Neither,loader,2020-04-22-17-24-57-014155,OncogenicCategory_omnigene_939
CD274,Oncogene,loader,2020-04-22-17-25-01-035147,OncogenicCategory_omnigene_29126
CD276,Neither,loader,2020-04-22-17-25-04-808570,OncogenicCategory_omnigene_80381
CD28,Neither,loader,2020-04-22-17-25-08-095938,OncogenicCategory_omnigene_940
CD38,Neither,loader,2020-04-22-17-25-18-035623,OncogenicCategory_omnigene_952
CD3D,Neither,loader,2020-04-22-17-25-09-938321,OncogenicCategory_omnigene_915
CD3E,Neither,loader,2020-04-22-17-25-13-262349,OncogenicCategory_omnigene_916
CD3G,Neither,loader,2020-04-22-17-25-15-620117,OncogenicCategory_omnigene_917
CD4,Neither,loader,2020-04-22-17-25-20-373361,OncogenicCategory_omnigene_920
CD40,Neither,loader,2020-04-22-17-25-23-262538,OncogenicCategory_omnigene_958
CD40LG,Neither,loader,2020-04-22-17-25-25-885539,OncogenicCategory_omnigene_959
CD44,Oncogene,loader,2020-04-22-17-25-34-530036,OncogenicCategory_omnigene_960
CD68,Neither,loader,2020-04-22-17-25-38-081305,OncogenicCategory_omnigene_968
CD74,Oncogene,loader,2020-04-22-17-25-40-013565,OncogenicCategory_omnigene_972
CD79A,Oncogene,loader,2020-04-22-17-25-42-270522,OncogenicCategory_omnigene_973
CD79B,Oncogene,loader,2020-04-22-17-25-43-977661,OncogenicCategory_omnigene_974
CD80,Neither,loader,2020-04-22-17-25-49-529761,OncogenicCategory_omnigene_941
CD86,Neither,loader,2020-04-22-17-25-51-249507,OncogenicCategory_omnigene_942
CD8A,Neither,loader,2020-04-22-17-25-53-594681,OncogenicCategory_omnigene_925
CD8A,Neither,loader,2020-04-22-17-25-53-594681,OncogenicCategory_omnigene_925
CD8B,Neither,loader,2020-04-22-17-25-55-342348,OncogenicCategory_omnigene_926
CD8B,Neither,loader,2020-04-22-17-25-55-342348,OncogenicCategory_omnigene_926
CDC73,Tumor Suppressor Gene,loader,2020-04-22-17-25-57-609198,OncogenicCategory_omnigene_79577
CDH1,Tumor Suppressor Gene,loader,2020-04-22-17-26-03-333153,OncogenicCategory_omnigene_999
CDK12,Tumor Suppressor Gene,loader,2020-04-22-17-26-05-398385,OncogenicCategory_omnigene_51755
CDK4,Oncogene,loader,2020-04-22-17-26-08-878850,OncogenicCategory_omnigene_1019
CDK6,Oncogene,loader,2020-04-22-17-26-11-719241,OncogenicCategory_omnigene_1021
CDK8,Oncogene,loader,2020-04-22-17-26-13-865554,OncogenicCategory_omnigene_1024
CDKN1A,Both,loader,2020-04-22-17-26-18-237584,OncogenicCategory_omnigene_1026
CDKN1B,Tumor Suppressor Gene,loader,2020-04-22-17-26-20-992235,OncogenicCategory_omnigene_1027
CDKN2A,Tumor Suppressor Gene,loader,2020-04-22-17-26-24-107686,OncogenicCategory_omnigene_1029
CDKN2B,Tumor Suppressor Gene,loader,2020-04-22-17-26-25-828448,OncogenicCategory_omnigene_1030
CDKN2C,Tumor Suppressor Gene,loader,2020-04-22-17-26-28-794265,OncogenicCategory_omnigene_1031
CEBPA,Tumor Suppressor Gene,loader,2020-04-22-17-26-31-300896,OncogenicCategory_omnigene_1050
CENPA,Neither,loader,2020-04-22-17-26-40-336192,OncogenicCategory_omnigene_1058
CHD2,Tumor Suppressor Gene,loader,2020-04-22-17-26-43-215128,OncogenicCategory_omnigene_1106
CHD4,Oncogene,loader,2020-04-22-17-26-45-582728,OncogenicCategory_omnigene_1108
CHEK1,Tumor Suppressor Gene,loader,2020-04-22-17-26-48-196636,OncogenicCategory_omnigene_1111
CHEK2,Oncogene,loader,2020-04-22-17-26-51-316650,OncogenicCategory_omnigene_11200
CIC,Both,loader,2020-04-22-17-26-53-219292,OncogenicCategory_omnigene_23152
COP1,Neither,loader,2020-04-22-17-45-53-077073,OncogenicCategory_omnigene_64326
CREBBP,Both,loader,2020-04-22-17-27-01-130956,OncogenicCategory_omnigene_1387
CRKL,Oncogene,loader,2020-04-22-17-27-04-578354,OncogenicCategory_omnigene_1399
CRLF2,Oncogene,loader,2020-04-22-17-27-06-147071,OncogenicCategory_omnigene_64109
CSF1R,Oncogene,loader,2020-04-22-17-27-10-118028,OncogenicCategory_omnigene_1436
CSF3R,Oncogene,loader,2020-04-22-17-27-12-612340,OncogenicCategory_omnigene_1441
CSNK1A1,Neither,loader,2020-04-22-17-27-15-853911,OncogenicCategory_omnigene_1452
CSNK2A1,Oncogene,loader,2020-04-22-17-27-23-908295,OncogenicCategory_omnigene_1457
CTAG1B,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-26-766182,OncogenicCategory_omnigene_1485
CTAG2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-30-260614,OncogenicCategory_omnigene_30848
CTCF,Tumor Suppressor Gene,loader,2020-04-22-17-27-29-029269,OncogenicCategory_omnigene_10664
CTLA4,Neither,loader,2020-04-22-17-27-31-290033,OncogenicCategory_omnigene_1493
CTNNA1,Neither,loader,2020-04-22-17-27-34-436934,OncogenicCategory_omnigene_1495
CTNNB1,Oncogene,loader,2020-04-22-17-27-43-598318,OncogenicCategory_omnigene_1499
CUL3,Tumor Suppressor Gene,loader,2020-04-22-17-28-00-408736,OncogenicCategory_omnigene_8452
CUX1,Both,loader,2020-04-22-17-28-05-076361,OncogenicCategory_omnigene_1523
CXCL10,Neither,loader,2020-04-22-17-28-08-962276,OncogenicCategory_omnigene_3627
CXCR2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-38-558693,OncogenicCategory_omnigene_3579
CXCR4,Oncogene,loader,2020-04-22-17-28-14-627255,OncogenicCategory_omnigene_7852
CXCR6,Neither,loader,2020-04-22-17-28-16-457786,OncogenicCategory_omnigene_10663
CYLD,Tumor Suppressor Gene,loader,2020-04-22-17-28-24-478082,OncogenicCategory_omnigene_1540
DAXX,Both,loader,2020-04-22-17-28-29-815776,OncogenicCategory_omnigene_1616
DCUN1D1,Oncogene,loader,2020-04-22-17-28-32-863909,OncogenicCategory_omnigene_54165
DDR2,Oncogene,loader,2020-04-22-17-28-36-294021,OncogenicCategory_omnigene_4921
DDX41,Neither,loader,2020-04-22-17-28-38-831476,OncogenicCategory_omnigene_51428
DDX58,Neither,loader,2020-04-22-17-28-42-178675,OncogenicCategory_omnigene_23586
DHX15,Neither,loader,2020-04-22-17-28-43-999292,OncogenicCategory_omnigene_1665
DICER1,Tumor Suppressor Gene,loader,2020-04-22-17-28-46-458140,OncogenicCategory_omnigene_23405
DIS3,Neither,loader,2020-04-22-17-28-48-021250,OncogenicCategory_omnigene_22894
DNAJB1,Neither,loader,2020-04-22-17-28-50-190868,OncogenicCategory_omnigene_3337
DNMT1,Neither,loader,2020-04-22-17-28-52-977804,OncogenicCategory_omnigene_1786
DNMT3A,Oncogene,loader,2020-04-22-17-28-55-052712,OncogenicCategory_omnigene_1788
DNMT3B,Neither,loader,2020-04-22-17-28-57-988068,OncogenicCategory_omnigene_1789
DOT1L,Neither,loader,2020-04-22-17-29-00-509580,OncogenicCategory_omnigene_84444
E2F3,Neither,loader,2020-04-22-17-29-02-082632,OncogenicCategory_omnigene_1871
EED,Tumor Suppressor Gene,loader,2020-04-22-17-29-03-946552,OncogenicCategory_omnigene_8726
EGFL7,Neither,loader,2020-04-22-17-29-06-289964,OncogenicCategory_omnigene_51162
EGFR,Oncogene,loader,2020-04-22-17-29-14-591232,OncogenicCategory_omnigene_1956
EIF1AX,Neither,loader,2020-04-22-17-29-17-499035,OncogenicCategory_omnigene_1964
EIF4A2,Neither,loader,2020-04-22-17-29-20-136898,OncogenicCategory_omnigene_1974
EIF4E,Neither,loader,2020-04-22-17-29-23-005857,OncogenicCategory_omnigene_1977
ELOC,Neither,loader,2020-04-22-17-49-23-077889,OncogenicCategory_omnigene_6921
EML4,Neither,loader,2020-04-22-17-29-24-625221,OncogenicCategory_omnigene_27436
EMSY,Neither,loader,2020-04-22-17-24-19-695748,OncogenicCategory_omnigene_56946
ENTPD1,Neither,loader,2020-04-22-17-29-27-054319,OncogenicCategory_omnigene_953
EP300,Tumor Suppressor Gene,loader,2020-04-22-17-29-37-605662,OncogenicCategory_omnigene_2033
EPCAM,Neither,loader,2020-04-22-17-29-41-188854,OncogenicCategory_omnigene_4072
EPHA3,Neither,loader,2020-04-22-17-29-43-136086,OncogenicCategory_omnigene_2042
EPHA5,Neither,loader,2020-04-22-17-29-44-673328,OncogenicCategory_omnigene_2044
EPHA7,Neither,loader,2020-04-22-17-29-46-986931,OncogenicCategory_omnigene_2045
EPHB1,Neither,loader,2020-04-22-17-29-49-118703,OncogenicCategory_omnigene_2047
ERBB2,Oncogene,loader,2020-04-22-17-29-52-131380,OncogenicCategory_omnigene_2064
ERBB3,Oncogene,loader,2020-04-22-17-29-55-326032,OncogenicCategory_omnigene_2065
ERBB4,Oncogene,loader,2020-04-22-17-29-58-944542,OncogenicCategory_omnigene_2066
ERCC1,Neither,loader,2020-04-22-17-30-00-706329,OncogenicCategory_omnigene_2067
ERCC2,Tumor Suppressor Gene,loader,2020-04-22-17-30-03-373946,OncogenicCategory_omnigene_2068
ERCC3,Tumor Suppressor Gene,loader,2020-04-22-17-30-05-550218,OncogenicCategory_omnigene_2071
ERCC4,Tumor Suppressor Gene,loader,2020-04-22-17-30-08-122994,OncogenicCategory_omnigene_2072
ERCC5,Tumor Suppressor Gene,loader,2020-04-22-17-30-09-912124,OncogenicCategory_omnigene_2073
ERG,Oncogene,loader,2020-04-22-17-30-11-704325,OncogenicCategory_omnigene_2078
ERRFI1,Neither,loader,2020-04-22-17-30-13-223350,OncogenicCategory_omnigene_54206
ESR1,Oncogene,loader,2020-04-22-17-30-16-760912,OncogenicCategory_omnigene_2099
ETS1,Oncogene,loader,2020-04-22-17-30-18-916280,OncogenicCategory_omnigene_2113
ETV1,Oncogene,loader,2020-04-22-17-30-21-338927,OncogenicCategory_omnigene_2115
ETV4,Oncogene,loader,2020-04-22-17-30-22-853504,OncogenicCategory_omnigene_2118
ETV5,Oncogene,loader,2020-04-22-17-30-24-563274,OncogenicCategory_omnigene_2119
ETV6,Tumor Suppressor Gene,loader,2020-04-22-17-30-26-386935,OncogenicCategory_omnigene_2120
EWSR1,Oncogene,loader,2020-04-22-17-30-28-761196,OncogenicCategory_omnigene_2130
EZH2,Oncogene,loader,2020-04-22-17-30-32-567203,OncogenicCategory_omnigene_2146
FANCA,Tumor Suppressor Gene,loader,2020-04-22-17-30-41-722470,OncogenicCategory_omnigene_2175
FANCC,Tumor Suppressor Gene,loader,2020-04-22-17-30-43-172369,OncogenicCategory_omnigene_2176
FANCD2,Tumor Suppressor Gene,loader,2020-04-22-17-30-45-664711,OncogenicCategory_omnigene_2177
FANCE,Tumor Suppressor Gene,loader,2020-04-22-17-30-47-368648,OncogenicCategory_omnigene_2178
FANCF,Tumor Suppressor Gene,loader,2020-04-22-17-30-48-947307,OncogenicCategory_omnigene_2188
FANCG,Tumor Suppressor Gene,loader,2020-04-22-17-30-50-580804,OncogenicCategory_omnigene_2189
FANCI,Tumor Suppressor Gene,loader,2020-04-22-17-30-52-515635,OncogenicCategory_omnigene_55215
FANCL,Tumor Suppressor Gene,loader,2020-04-22-17-30-56-614660,OncogenicCategory_omnigene_55120
FAS,Tumor Suppressor Gene,loader,2020-04-22-17-31-00-143048,OncogenicCategory_omnigene_355
FAT1,Tumor Suppressor Gene,loader,2020-04-22-17-31-01-834208,OncogenicCategory_omnigene_2195
FBXW7,Tumor Suppressor Gene,loader,2020-04-22-17-31-10-374080,OncogenicCategory_omnigene_55294
FGF1,Oncogene,loader,2020-04-22-17-31-15-575866,OncogenicCategory_omnigene_2246
FGF10,Oncogene,loader,2020-04-22-17-31-18-317079,OncogenicCategory_omnigene_2255
FGF14,Oncogene,loader,2020-04-22-17-31-20-547168,OncogenicCategory_omnigene_2259
FGF19,Oncogene,loader,2020-04-22-17-31-21-981495,OncogenicCategory_omnigene_9965
FGF2,Oncogene,loader,2020-04-22-17-31-25-776011,OncogenicCategory_omnigene_2247
FGF23,Oncogene,loader,2020-04-22-17-31-27-431389,OncogenicCategory_omnigene_8074
FGF3,Oncogene,loader,2020-04-22-17-31-29-608934,OncogenicCategory_omnigene_2248
FGF4,Oncogene,loader,2020-04-22-17-31-31-013169,OncogenicCategory_omnigene_2249
FGF5,Oncogene,loader,2020-04-22-17-31-32-591693,OncogenicCategory_omnigene_2250
FGF6,Oncogene,loader,2020-04-22-17-31-34-100629,OncogenicCategory_omnigene_2251
FGF7,Oncogene,loader,2020-04-22-17-31-35-542115,OncogenicCategory_omnigene_2252
FGF8,Oncogene,loader,2020-04-22-17-31-38-153584,OncogenicCategory_omnigene_2253
FGF9,Oncogene,loader,2020-04-22-17-31-40-685212,OncogenicCategory_omnigene_2254
FGFR1,Oncogene,loader,2020-04-22-17-31-43-175843,OncogenicCategory_omnigene_2260
FGFR2,Oncogene,loader,2020-04-22-17-31-45-408927,OncogenicCategory_omnigene_2263
FGFR3,Oncogene,loader,2020-04-22-17-31-47-895666,OncogenicCategory_omnigene_2261
FGFR4,Oncogene,loader,2020-04-22-17-31-49-711171,OncogenicCategory_omnigene_2264
FH,Tumor Suppressor Gene,loader,2020-04-22-17-31-52-233116,OncogenicCategory_omnigene_2271
FLCN,Tumor Suppressor Gene,loader,2020-04-22-17-31-58-880751,OncogenicCategory_omnigene_201163
FLI1,Oncogene,loader,2020-04-22-17-32-03-170551,OncogenicCategory_omnigene_2313
FLT1,Neither,loader,2020-04-22-17-32-05-871883,OncogenicCategory_omnigene_2321
FLT3,Oncogene,loader,2020-04-22-17-32-08-665677,OncogenicCategory_omnigene_2322
FLT4,Oncogene,loader,2020-04-22-17-32-10-515654,OncogenicCategory_omnigene_2324
FOXA1,Oncogene,loader,2020-04-22-17-32-12-773564,OncogenicCategory_omnigene_3169
FOXL2,Oncogene,loader,2020-04-22-17-32-14-443306,OncogenicCategory_omnigene_668
FOXO1,Both,loader,2020-04-22-17-32-16-938145,OncogenicCategory_omnigene_2308
FOXP1,Oncogene,loader,2020-04-22-17-32-21-971844,OncogenicCategory_omnigene_27086
FOXP3,Neither,loader,2020-04-22-17-32-26-537807,OncogenicCategory_omnigene_50943
FRS2,Neither,loader,2020-04-22-17-32-28-883980,OncogenicCategory_omnigene_10818
FUBP1,Oncogene,loader,2020-04-22-17-32-30-310458,OncogenicCategory_omnigene_8880
FYN,Oncogene,loader,2020-04-22-17-32-32-805334,OncogenicCategory_omnigene_2534
GABRA6,Neither,loader,2020-04-22-17-32-34-229034,OncogenicCategory_omnigene_2559
GAS6,Oncogene,loader,2020-04-22-17-32-36-666010,OncogenicCategory_omnigene_2621
GATA1,Both,loader,2020-04-22-17-32-38-757556,OncogenicCategory_omnigene_2623
GATA2,Oncogene,loader,2020-04-22-17-32-40-764000,OncogenicCategory_omnigene_2624
GATA3,Tumor Suppressor Gene,loader,2020-04-22-17-32-42-735723,OncogenicCategory_omnigene_2625
GATA4,Neither,loader,2020-04-22-17-32-46-846676,OncogenicCategory_omnigene_2626
GATA6,Neither,loader,2020-04-22-17-32-53-161274,OncogenicCategory_omnigene_2627
GEN1,Neither,loader,2020-04-22-17-32-59-024333,OncogenicCategory_omnigene_348654
GID4,Neither,loader,2020-04-22-17-33-02-030308,OncogenicCategory_omnigene_79018
GLI1,Oncogene,loader,2020-04-22-17-33-07-289247,OncogenicCategory_omnigene_2735
GNA11,Oncogene,loader,2020-04-22-17-33-09-504852,OncogenicCategory_omnigene_2767
GNA13,Neither,loader,2020-04-22-17-33-13-668606,OncogenicCategory_omnigene_10672
GNAQ,Oncogene,loader,2020-04-22-17-33-15-825485,OncogenicCategory_omnigene_2776
GNAS,Oncogene,loader,2020-04-22-17-33-18-541094,OncogenicCategory_omnigene_2778
GPS2,Tumor Suppressor Gene,loader,2020-04-22-17-33-25-456963,OncogenicCategory_omnigene_2874
GREM1,Neither,loader,2020-04-22-17-33-28-416259,OncogenicCategory_omnigene_26585
GRIN2A,Tumor Suppressor Gene,loader,2020-04-22-17-33-32-128066,OncogenicCategory_omnigene_2903
GRM3,Oncogene,loader,2020-04-22-17-33-33-921183,OncogenicCategory_omnigene_2913
GSK3B,Neither,loader,2020-04-22-17-33-38-678673,OncogenicCategory_omnigene_2932
GZMB,Neither,loader,2020-04-22-17-33-41-121022,OncogenicCategory_omnigene_3002
H1-2,Neither,loader,2020-04-22-17-33-59-647016,OncogenicCategory_omnigene_3006
H2BC5,Neither,loader,2020-04-22-17-34-01-499403,OncogenicCategory_omnigene_3017
H3-3A,Oncogene,loader,2020-04-22-17-33-43-782919,OncogenicCategory_omnigene_3020
H3-3B,Oncogene,loader,2020-04-22-17-33-47-215337,OncogenicCategory_omnigene_3021
H3-4,Neither,loader,2020-04-22-17-34-35-561132,OncogenicCategory_omnigene_8290
H3-5,Neither,loader,2020-04-22-17-33-48-720552,OncogenicCategory_omnigene_440093
H3C1,Neither,loader,2020-04-22-17-34-04-122361,OncogenicCategory_omnigene_8350
H3C10,Neither,loader,2020-04-22-17-34-19-376117,OncogenicCategory_omnigene_8357
H3C11,Neither,loader,2020-04-22-17-34-22-405349,OncogenicCategory_omnigene_8354
H3C12,Neither,loader,2020-04-22-17-34-25-386471,OncogenicCategory_omnigene_8356
H3C13,Neither,loader,2020-04-22-17-34-33-381307,OncogenicCategory_omnigene_653604
H3C14,Neither,loader,2020-04-22-17-34-30-506850,OncogenicCategory_omnigene_126961
H3C15,Neither,loader,2020-04-22-17-34-27-833802,OncogenicCategory_omnigene_333932
H3C2,Oncogene,loader,2020-04-22-17-34-06-683474,OncogenicCategory_omnigene_8358
H3C6,Neither,loader,2020-04-22-17-34-09-632740,OncogenicCategory_omnigene_8353
H3C7,Neither,loader,2020-04-22-17-34-13-104969,OncogenicCategory_omnigene_8968
H3C8,Neither,loader,2020-04-22-17-34-16-147782,OncogenicCategory_omnigene_8355
HAVCR2,Neither,loader,2020-04-22-17-33-54-524555,OncogenicCategory_omnigene_84868
HGF,Neither,loader,2020-04-22-17-33-58-090452,OncogenicCategory_omnigene_3082
HLA-A,Neither,loader,2020-04-22-17-34-53-250499,OncogenicCategory_omnigene_3105
HNF1A,Oncogene,loader,2020-04-22-17-34-58-239850,OncogenicCategory_omnigene_6927
HNRNPK,Neither,loader,2020-04-22-17-35-01-056960,OncogenicCategory_omnigene_3190
HOXB13,Neither,loader,2020-04-22-17-35-03-561102,OncogenicCategory_omnigene_10481
HRAS,Oncogene,loader,2020-04-22-17-35-07-972070,OncogenicCategory_omnigene_3265
HSD3B1,Neither,loader,2020-04-22-17-35-10-271888,OncogenicCategory_omnigene_3283
HSP90AA1,Neither,loader,2020-04-22-17-35-16-957137,OncogenicCategory_omnigene_3320
ICOS,Neither,loader,2020-04-22-17-35-19-292158,OncogenicCategory_omnigene_29851
ICOSLG,Neither,loader,2020-04-22-17-35-21-516511,OncogenicCategory_omnigene_23308
ID3,Tumor Suppressor Gene,loader,2020-04-22-17-35-23-087141,OncogenicCategory_omnigene_3399
IDH1,Oncogene,loader,2020-04-22-17-35-26-227208,OncogenicCategory_omnigene_3417
IDH2,Oncogene,loader,2020-04-22-17-35-28-854913,OncogenicCategory_omnigene_3418
IDO1,Neither,loader,2020-04-22-17-35-32-744768,OncogenicCategory_omnigene_3620
IFITM1,Oncogene,loader,2020-04-22-17-35-34-796054,OncogenicCategory_omnigene_8519
IFITM3,Oncogene,loader,2020-04-22-17-35-36-865067,OncogenicCategory_omnigene_10410
IFNG,Neither,loader,2020-04-22-17-35-39-129677,OncogenicCategory_omnigene_3458
IFNGR1,Neither,loader,2020-04-22-17-35-42-048749,OncogenicCategory_omnigene_3459
IGF1,Neither,loader,2020-04-22-17-35-46-657029,OncogenicCategory_omnigene_3479
IGF1R,Oncogene,loader,2020-04-22-17-35-50-464759,OncogenicCategory_omnigene_3480
IGF2,Neither,loader,2020-04-22-17-35-53-592149,OncogenicCategory_omnigene_3481
IKBKE,Neither,loader,2020-04-22-17-35-55-789646,OncogenicCategory_omnigene_9641
IKZF1,Tumor Suppressor Gene,loader,2020-04-22-17-35-58-707152,OncogenicCategory_omnigene_10320
IL10,Neither,loader,2020-04-22-17-36-02-225096,OncogenicCategory_omnigene_3586
